iter	Passed	Remaining
1161	43977	31715
1162	44017	31678
1163	44054	31640
1164	44093	31603
1165	44129	31564
1166	44165	31525
1167	44202	31486
1168	44250	31456
1169	44287	31417
1170	44324	31378
1171	44364	31342
1172	44400	31303
1173	44437	31265
1174	44475	31227
1175	44513	31189
1176	44550	31151
1177	44588	31113
1178	44626	31075
1179	44663	31037
1180	44701	30999
1181	44742	30964
1182	44782	30927
1183	44822	30891
1184	44863	30855
1185	44900	30816
1186	44936	30777
1187	44973	30739
1188	45012	30702
1189	45048	30663
1190	45086	30625
1191	45123	30587
1192	45162	30549
1193	45199	30511
1194	45236	30472
1195	45272	30434
1196	45309	30395
1197	45346	30357
1198	45385	30320
1199	45421	30281
1200	45458	30242
1201	45495	30204
1202	45532	30165
1203	45570	30127
1204	45608	30090
1205	45645	30051
1206	45682	30013
1207	45719	29975
1208	45757	29937
1209	45795	29899
1210	45833	29861
1211	45871	29824
1212	45909	29786
1213	45946	29747
1214	45984	29709
1215	46021	29671
1216	46059	29634
1217	46097	29596
1218	46134	29558
1219	46171	29519
1220	46208	29481
1221	46245	29443
1222	46285	29406
1223	46323	29368
1224	46360	29330
1225	46397	29291
1226	46434	29253
1227	46471	29214
1228	46510	29177
1229	46547	29139
1230	46586	29102
1231	46623	29063
1232	46659	29025
1233	46696	28986
1234	46734	28949
1235	46772	28911
1236	46811	28874
1237	46848	28835
1238	46885	28797
1239	46922	28759
1240	46961	28721
1241	46998	28683
1242	47036	28645
1243	47074	28608
1244	47112	28569
1245	47149	28532
1246	47187	28494
1247	47225	28456
1248	47263	28418
1249	47299	28379
1250	47337	28341
1251	47373	28302
1252	47412	28265
1253	47448	28226
1254	47485	28188
1255	47522	28150
1256	47559	28112
1257	47596	28073
1258	47635	28036
1259	47674	27999
1260	47712	27961
1261	47748	27922
1262	47787	27885
1263	47824	27847
1264	47863	27810
1265	47901	27772
1266	47938	27734
1267	47976	27696
1268	48013	27657
1269	48049	27619
1270	48087	27581
1271	48125	27543
1272	48162	27505
1273	48199	27466
1274	48236	27428
1275	48273	27390
1276	48311	27352
1277	48350	27315
1278	48387	27276
1279	48424	27238
1280	48461	27200
1281	48498	27161
1282	48537	27124
1283	48574	27086
1284	48612	27048
1285	48648	27010
1286	48685	26971
1287	48723	26934
1288	48763	26897
1289	48800	26859
1290	48837	26820
1291	48873	26782
1292	48910	26743
1293	48947	26705
1294	48986	26668
1295	49024	26630
1296	49061	26592
1297	49099	26554
1298	49136	26516
1299	49173	26477
1300	49210	26439
1301	49247	26401
1302	49284	26363
1303	49321	26324
1304	49359	26287
1305	49395	26248
1306	49433	26210
1307	49470	26172
1308	49508	26134
1309	49546	26096
1310	49584	26059
1311	49621	26020
1312	49660	25983
1313	49697	25945
1314	49734	25907
1315	49771	25869
1316	49815	25834
1317	49856	25798
1318	49898	25762
1319	49939	25726
1320	49976	25688
1321	50013	25649
1322	50051	25612
1323	50089	25574
1324	50128	25537
1325	50165	25499
1326	50203	25460
1327	50240	25422
1328	50276	25384
1329	50314	25346
1330	50352	25308
1331	50389	25270
1332	50426	25232
1333	50462	25193
1334	50500	25155
1335	50537	25117
1336	50575	25079
1337	50614	25042
1338	50651	25003
1339	50687	24965
1340	50724	24927
1341	50762	24889
